u,v,Dij
5,20,0.04050658872993898
5,22,0.039453799654576856
5,28,0.03835403726708075
5,29,0.04936569222283508
5,32,0.041128084606345476
5,33,0.03796001159084324
5,35,0.04112931334959916
5,37,0.044466338259441705
5,43,0.036800927267458705
5,45,0.03917466272274728
5,48,0.044423214712204444
5,49,0.03532580544908319
5,52,0.03953646898432175
5,55,0.04119327619427281
5,57,0.04325889164598842
5,59,0.04263761633359787
5,68,0.04093567251461988
5,69,0.0382502113271344
5,71,0.041683666530667754
5,74,0.037898193760262724
5,78,0.03995211731258417
5,82,0.04024630229162699
5,85,0.041683463678142386
5,86,0.043485546711353164
5,88,0.040849917701631
5,89,0.04055299539170507
5,90,0.04
5,92,0.04609271523178808
5,97,0.042741658066735466
5,98,0.040363028421304036
5,103,0.03990969926630654
5,104,0.03882768937848497
5,107,0.040927021696252466
5,109,0.04176379176379176
5,116,0.03849398052296603
5,117,0.037034266048181955
5,118,0.04008365284071105
5,126,0.04062995061038114
5,141,0.03532889874353289
5,142,0.042225662194702446
5,148,0.039345319680722406
5,154,0.03883668903803132
5,159,0.043835616438356165
5,161,0.04031282754172378
5,165,0.038351867693185056
5,166,0.040172955974842765
5,172,0.03853906312988793
5,173,0.04115914338030412
5,176,0.042195256480970764
5,179,0.040393453196807226
5,182,0.03928866832092639
5,189,0.04496891996891997
5,190,0.04540529892642569
5,197,0.03938679245283019
5,198,0.04454384493523437
5,199,0.04046920821114369
5,208,0.043414918414918416
5,210,0.03741573884723169
5,214,0.03946308724832215
5,218,0.041033434650455926
5,226,0.042773273693038856
5,228,0.03878094009513827
5,231,0.03785234899328859
5,243,0.040229885057471264
5,252,0.04100270245084335
5,261,0.042913656690746475
5,265,0.03943739658025373
5,267,0.03879127408539173
5,269,0.04241610738255033
5,275,0.04419191919191919
5,279,0.03847874720357942
5,280,0.03947019867549669
5,283,0.043414918414918416
5,286,0.045402298850574715
5,300,0.038518109946681374
5,306,0.03979125896934116
5,322,0.04127596984739842
5,326,0.03908045977011494
5,331,0.03993140617344439
5,344,0.039735099337748346
5,360,0.03845456194449483
5,390,0.04127816627816628
5,417,0.042314609118798266
5,418,0.04331779331779332
5,419,0.04471584753274894
5,426,0.042735042735042736
5,437,0.04090694378837978
5,450,0.037128011336797356
5,497,0.04093211752786221
5,508,0.040855059434621914
5,527,0.042040623523854515
5,557,0.04295991778006167
5,561,0.041071604451886144
5,600,0.04176245210727969
5,605,0.04244604316546763
5,632,0.0403821530582094
5,637,0.04113475177304964
